#ID = 
#miRNA_ID = Name of targeted human miRNA
#miRNA_ID_LIST = Name of targeted miRNA (miRBase 12.0)
#SPOT_ID = 
ID	miRNA_ID	miRNA_ID_LIST	SPOT_ID
hsa-miR-139-3p	hsa-miR-139-3p	hsa-miR-139-3p/ mmu-miR-139-3p/ rno-miR-139-3p	
hsa-miR-139-5p	hsa-miR-139-5p	hsa-miR-139-5p/ mmu-miR-139-5p/ rno-miR-139-5p	
hsa-miR-140-3p	hsa-miR-140-3p	hsa-miR-140-3p/ mmu-miR-140*/ rno-miR-140*	
hsa-miR-140-5p	hsa-miR-140-5p	hsa-miR-140-5p/ mmu-miR-140/ rno-miR-140	
hsa-miR-141*	hsa-miR-141*	hsa-miR-141*	
hsa-miR-141	hsa-miR-141	hsa-miR-141/ mmu-miR-141/ rno-miR-141	
hsa-miR-142-3p	hsa-miR-142-3p	hsa-miR-142-3p/ mmu-miR-142-3p/ rno-miR-142-3p	
hsa-miR-142-5p	hsa-miR-142-5p	hsa-miR-142-5p/ mmu-miR-142-5p/ rno-miR-142-5p	
hsa-miR-143*	hsa-miR-143*	hsa-miR-143*	
hsa-miR-143	hsa-miR-143	hsa-miR-143/ mmu-miR-143/ rno-miR-143	
hsa-miR-144*	hsa-miR-144*	hsa-miR-144*	
hsa-miR-144	hsa-miR-144	hsa-miR-144/ mmu-miR-144/ rno-miR-144	
hsa-miR-145*	hsa-miR-145*	hsa-miR-145*/ mmu-miR-145*	
hsa-miR-145	hsa-miR-145	hsa-miR-145/ mmu-miR-145/ rno-miR-145	
hsa-miR-1468	hsa-miR-1468	hsa-miR-1468	
hsa-miR-146a*	hsa-miR-146a*	hsa-miR-146a*	
hsa-miR-146a	hsa-miR-146a	hsa-miR-146a/ mmu-miR-146a/ rno-miR-146a	
hsa-miR-146b-3p	hsa-miR-146b-3p	hsa-miR-146b-3p	
hsa-miR-146b-5p	hsa-miR-146b-5p	hsa-miR-146b-5p/ mmu-miR-146b/ rno-miR-146b	
hsa-miR-147	hsa-miR-147	hsa-miR-147	
hsa-miR-147b	hsa-miR-147b	hsa-miR-147b/ mmu-miR-147/ rno-miR-147	
hsa-miR-148a*	hsa-miR-148a*	hsa-miR-148a*/ mmu-miR-148a*	
hsa-miR-148a	hsa-miR-148a	hsa-miR-148a/ mmu-miR-148a	
hsa-miR-148b	hsa-miR-148b	hsa-miR-148b/ mmu-miR-148b/ rno-miR-148b-3p	
hsa-miR-149*	hsa-miR-149*	hsa-miR-149*	
hsa-miR-149	hsa-miR-149	hsa-miR-149/ mmu-miR-149	
hsa-miR-150*	hsa-miR-150*	hsa-miR-150*/ mmu-miR-150*	
hsa-miR-150	hsa-miR-150	hsa-miR-150/ mmu-miR-150/ rno-miR-150	
hsa-miR-151-3p	hsa-miR-151-3p	hsa-miR-151-3p	
hsa-miR-151-5p	hsa-miR-151-5p	hsa-miR-151-5p/ mmu-miR-151-5p/ rno-miR-151	
hsa-miR-152	hsa-miR-152	hsa-miR-152/ mmu-miR-152/ rno-miR-152	
hsa-miR-153	hsa-miR-153	hsa-miR-153/ mmu-miR-153/ rno-miR-153	
