#ID = 
#miRNA_ID = Name of targeted human miRNA
#miRNA_ID_LIST = Name of targeted miRNA (miRBase 12.0)
#SPOT_ID = 
ID	miRNA_ID	miRNA_ID_LIST	SPOT_ID
hsa-miR-601	hsa-miR-601	hsa-miR-601	
hsa-miR-602	hsa-miR-602	hsa-miR-602	
hsa-miR-603	hsa-miR-603	hsa-miR-603	
hsa-miR-604	hsa-miR-604	hsa-miR-604	
hsa-miR-605	hsa-miR-605	hsa-miR-605	
hsa-miR-606	hsa-miR-606	hsa-miR-606	
hsa-miR-607	hsa-miR-607	hsa-miR-607	
hsa-miR-608	hsa-miR-608	hsa-miR-608	
hsa-miR-609	hsa-miR-609	hsa-miR-609	
hsa-miR-610	hsa-miR-610	hsa-miR-610	
hsa-miR-611	hsa-miR-611	hsa-miR-611	
hsa-miR-612	hsa-miR-612	hsa-miR-612	
hsa-miR-613	hsa-miR-613	hsa-miR-613	
hsa-miR-614	hsa-miR-614	hsa-miR-614	
hsa-miR-615-3p	hsa-miR-615-3p	hsa-miR-615-3p/ mmu-miR-615-3p	
hsa-miR-615-5p	hsa-miR-615-5p	hsa-miR-615-5p/ mmu-miR-615-5p	
hsa-miR-616	hsa-miR-616	hsa-miR-616	
hsa-miR-616*	hsa-miR-616*	hsa-miR-616*	
hsa-miR-617	hsa-miR-617	hsa-miR-617	
hsa-miR-618	hsa-miR-618	hsa-miR-618	
hsa-miR-619	hsa-miR-619	hsa-miR-619	
hsa-miR-620	hsa-miR-620	hsa-miR-620	
hsa-miR-621	hsa-miR-621	hsa-miR-621	
hsa-miR-622	hsa-miR-622	hsa-miR-622	
hsa-miR-623	hsa-miR-623	hsa-miR-623	
hsa-miR-624	hsa-miR-624	hsa-miR-624	
hsa-miR-624*	hsa-miR-624*	hsa-miR-624*	
hsa-miR-625	hsa-miR-625	hsa-miR-625	
hsa-miR-625*	hsa-miR-625*	hsa-miR-625*	
hsa-miR-626	hsa-miR-626	hsa-miR-626	
hsa-miR-627	hsa-miR-627	hsa-miR-627	
hsa-miR-628-3p	hsa-miR-628-3p	hsa-miR-628-3p	
hsa-miR-628-5p	hsa-miR-628-5p	hsa-miR-628-5p	
hsa-miR-629	hsa-miR-629	hsa-miR-629	
hsa-miR-629*	hsa-miR-629*	hsa-miR-629*	
hsa-miR-630	hsa-miR-630	hsa-miR-630	
hsa-miR-631	hsa-miR-631	hsa-miR-631	
hsa-miR-632	hsa-miR-632	hsa-miR-632	
hsa-miR-633	hsa-miR-633	hsa-miR-633	
hsa-miR-634	hsa-miR-634	hsa-miR-634	
hsa-miR-635	hsa-miR-635	hsa-miR-635	
hsa-miR-636	hsa-miR-636	hsa-miR-636	
hsa-miR-637	hsa-miR-637	hsa-miR-637	
hsa-miR-638	hsa-miR-638	hsa-miR-638	
hsa-miR-639	hsa-miR-639	hsa-miR-639	
hsa-miR-640	hsa-miR-640	hsa-miR-640	
hsa-miR-641	hsa-miR-641	hsa-miR-641	
hsa-miR-642	hsa-miR-642	hsa-miR-642	
hsa-miR-643	hsa-miR-643	hsa-miR-643	
hsa-miR-644	hsa-miR-644	hsa-miR-644	
hsa-miR-645	hsa-miR-645	hsa-miR-645	
hsa-miR-646	hsa-miR-646	hsa-miR-646	
hsa-miR-647	hsa-miR-647	hsa-miR-647	
hsa-miR-648	hsa-miR-648	hsa-miR-648	
hsa-miR-649	hsa-miR-649	hsa-miR-649	
hsa-miR-650	hsa-miR-650	hsa-miR-650	
hsa-miR-651	hsa-miR-651	hsa-miR-651	
hsa-miR-652	hsa-miR-652	hsa-miR-652/ mmu-miR-652/ rno-miR-652	
hsa-miR-653	hsa-miR-653	hsa-miR-653/ mmu-miR-653	
hsa-miR-654-3p	hsa-miR-654-3p	hsa-miR-654-3p/ mmu-miR-654-3p	
hsa-miR-654-5p	hsa-miR-654-5p	hsa-miR-654-5p	
hsa-miR-655	hsa-miR-655	hsa-miR-655	
hsa-miR-656	hsa-miR-656	hsa-miR-656	
hsa-miR-657	hsa-miR-657	hsa-miR-657	
hsa-miR-658	hsa-miR-658	hsa-miR-658	
hsa-miR-659	hsa-miR-659	hsa-miR-659	
hsa-miR-660	hsa-miR-660	hsa-miR-660	
hsa-miR-661	hsa-miR-661	hsa-miR-661	
hsa-miR-662	hsa-miR-662	hsa-miR-662	
hsa-miR-663	hsa-miR-663	hsa-miR-663	
hsa-miR-663b	hsa-miR-663b	hsa-miR-663b	
hsa-miR-664	hsa-miR-664	hsa-miR-664	
hsa-miR-664*	hsa-miR-664*	hsa-miR-664*	
hsa-miR-665	hsa-miR-665	hsa-miR-665	
hsa-miR-668	hsa-miR-668	hsa-miR-668/ mmu-miR-668	
hsa-miR-671-3p	hsa-miR-671-3p	hsa-miR-671-3p/ mmu-miR-671-3p/ rno-miR-671	
hsa-miR-671-5p	hsa-miR-671-5p	hsa-miR-671-5p/ mmu-miR-671-5p	
hsa-miR-675	hsa-miR-675	hsa-miR-675	
hsa-miR-675b	hsa-miR-675b	hsa-miR-675b	
hsa-miR-7-1*	hsa-miR-7-1*	hsa-miR-7-1*/ mmu-miR-7a*/ rno-miR-7a*	
hsa-miR-7-2*	hsa-miR-7-2*	hsa-miR-7-2*	
hsa-miR-7	hsa-miR-7	hsa-miR-7/ mmu-miR-7a/ rno-miR-7a	
hsa-miR-708*	hsa-miR-708*	hsa-miR-708*/ mmu-miR-708*/ rno-miR-708*	
hsa-miR-708	hsa-miR-708	hsa-miR-708/ mmu-miR-708/ rno-miR-708	
hsa-miR-720	hsa-miR-720	hsa-miR-720/ mmu-miR-720	
hsa-miR-744*	hsa-miR-744*	hsa-miR-744*/ mmu-miR-744*	
hsa-miR-744	hsa-miR-744	hsa-miR-744/ mmu-miR-744	
hsa-miR-758	hsa-miR-758	hsa-miR-758/ rno-miR-758	
hsa-miR-760	hsa-miR-760	hsa-miR-760/ mmu-miR-760/ rno-miR-760-3p	
hsa-miR-765	hsa-miR-765	hsa-miR-765	
hsa-miR-766	hsa-miR-766	hsa-miR-766	
hsa-miR-767-3p	hsa-miR-767-3p	hsa-miR-767-3p	
hsa-miR-767-5p	hsa-miR-767-5p	hsa-miR-767-5p	
hsa-miR-769-3p	hsa-miR-769-3p	hsa-miR-769-3p	
hsa-miR-769-5p	hsa-miR-769-5p	hsa-miR-769-5p	
hsa-miR-770-5p	hsa-miR-770-5p	hsa-miR-770-5p	
hsa-miR-802	hsa-miR-802	hsa-miR-802/ mmu-miR-802	
hsa-miR-873	hsa-miR-873	hsa-miR-873/ mmu-miR-873/ rno-miR-873	
hsa-miR-874	hsa-miR-874	hsa-miR-874/ mmu-miR-874/ rno-miR-874	
hsa-miR-875-3p	hsa-miR-875-3p	hsa-miR-875-3p	
hsa-miR-875-5p	hsa-miR-875-5p	hsa-miR-875-5p/ mmu-miR-875-5p	
hsa-miR-876-3p	hsa-miR-876-3p	hsa-miR-876-3p	
hsa-miR-876-5p	hsa-miR-876-5p	hsa-miR-876-5p	
hsa-miR-877*	hsa-miR-877*	hsa-miR-877*/ mmu-miR-877*	
hsa-miR-877	hsa-miR-877	hsa-miR-877/ mmu-miR-877/ rno-miR-877	
hsa-miR-885-3p	hsa-miR-885-3p	hsa-miR-885-3p	
hsa-miR-885-5p	hsa-miR-885-5p	hsa-miR-885-5p	
hsa-miR-886-3p	hsa-miR-886-3p	hsa-miR-886-3p	
hsa-miR-886-5p	hsa-miR-886-5p	hsa-miR-886-5p	
hsa-miR-887	hsa-miR-887	hsa-miR-887	
hsa-miR-888	hsa-miR-888	hsa-miR-888	
hsa-miR-888*	hsa-miR-888*	hsa-miR-888*	
hsa-miR-889	hsa-miR-889	hsa-miR-889	
hsa-miR-890	hsa-miR-890	hsa-miR-890	
hsa-miR-891a	hsa-miR-891a	hsa-miR-891a	
hsa-miR-891b	hsa-miR-891b	hsa-miR-891b	
hsa-miR-892a	hsa-miR-892a	hsa-miR-892a	
hsa-miR-892b	hsa-miR-892b	hsa-miR-892b	
hsa-miR-9*	hsa-miR-9*	hsa-miR-9*	
hsa-miR-9	hsa-miR-9	hsa-miR-9/ mmu-miR-9/ rno-miR-9	
hsa-miR-920	hsa-miR-920	hsa-miR-920	
hsa-miR-921	hsa-miR-921	hsa-miR-921	
hsa-miR-922	hsa-miR-922	hsa-miR-922	
hsa-miR-923	hsa-miR-923	hsa-miR-923	
hsa-miR-924	hsa-miR-924	hsa-miR-924	
hsa-miR-92a-1*	hsa-miR-92a-1*	hsa-miR-92a-1*	
hsa-miR-92a-2*	hsa-miR-92a-2*	hsa-miR-92a-2*	
hsa-miR-92a	hsa-miR-92a	hsa-miR-92a/ mmu-miR-92a/ rno-miR-92a	
hsa-miR-92b*	hsa-miR-92b*	hsa-miR-92b*	
hsa-miR-92b	hsa-miR-92b	hsa-miR-92b/ mmu-miR-92b/ rno-miR-92b	
hsa-miR-93*	hsa-miR-93*	hsa-miR-93*/ mmu-miR-93*	
hsa-miR-93	hsa-miR-93	hsa-miR-93/ mmu-miR-93/ rno-miR-93	
hsa-miR-933	hsa-miR-933	hsa-miR-933	
hsa-miR-934	hsa-miR-934	hsa-miR-934	
hsa-miR-935	hsa-miR-935	hsa-miR-935	
hsa-miR-936	hsa-miR-936	hsa-miR-936	
hsa-miR-937	hsa-miR-937	hsa-miR-937	
hsa-miR-938	hsa-miR-938	hsa-miR-938	
hsa-miR-939	hsa-miR-939	hsa-miR-939	
hsa-miR-940	hsa-miR-940	hsa-miR-940	
hsa-miR-941	hsa-miR-941	hsa-miR-941	
hsa-miR-942	hsa-miR-942	hsa-miR-942	
hsa-miR-943	hsa-miR-943	hsa-miR-943	
hsa-miR-944	hsa-miR-944	hsa-miR-944	
hsa-miR-95	hsa-miR-95	hsa-miR-95	
hsa-miR-96*	hsa-miR-96*	hsa-miR-96*	
hsa-miR-96	hsa-miR-96	hsa-miR-96/ mmu-miR-96/ rno-miR-96	
hsa-miR-98	hsa-miR-98	hsa-miR-98/ mmu-miR-98/ rno-miR-98	
hsa-miR-99a*	hsa-miR-99a*	hsa-miR-99a*	
hsa-miR-99a	hsa-miR-99a	hsa-miR-99a/ mmu-miR-99a/ rno-miR-99a	
hsa-miR-99b*	hsa-miR-99b*	hsa-miR-99b*/ mmu-miR-99b*/ rno-miR-99b*	
hsa-miR-99b	hsa-miR-99b	hsa-miR-99b/ mmu-miR-99b/ rno-miR-99b	
hsa-miRPlus-C1049	hsa-miRPlus-C1049	hsa-miRPlus-C1049/ mmu-miR-133a*	
hsa-miRPlus-D1090	hsa-miRPlus-D1090	hsa-miRPlus-D1090/ mmu-miR-872/ rno-miR-872	
hsa-miRPlus-D1100	hsa-miRPlus-D1100	hsa-miRPlus-D1100/ mmu-miR-674/ rno-miR-674-5p	
hsa-miRPlus-D1120	hsa-miRPlus-D1120	hsa-miRPlus-D1120/ mmu-miR-383/ rno-miR-383	
hsv1-miR-H1	hsv1-miR-H1	hsv1-miR-H1	
kshv-miR-K12-1	kshv-miR-K12-1	kshv-miR-K12-1	
kshv-miR-K12-10a	kshv-miR-K12-10a	kshv-miR-K12-10a	
kshv-miR-K12-10b	kshv-miR-K12-10b	kshv-miR-K12-10b	
kshv-miR-K12-11	kshv-miR-K12-11	kshv-miR-K12-11	
kshv-miR-K12-12	kshv-miR-K12-12	kshv-miR-K12-12	
kshv-miR-K12-2	kshv-miR-K12-2	kshv-miR-K12-2	
kshv-miR-K12-3	kshv-miR-K12-3	kshv-miR-K12-3	
kshv-miR-K12-3*	kshv-miR-K12-3*	kshv-miR-K12-3*	
kshv-miR-K12-4-3p	kshv-miR-K12-4-3p	kshv-miR-K12-4-3p	
kshv-miR-K12-4-5p	kshv-miR-K12-4-5p	kshv-miR-K12-4-5p	
kshv-miR-K12-5	kshv-miR-K12-5	kshv-miR-K12-5	
kshv-miR-K12-6-3p	kshv-miR-K12-6-3p	kshv-miR-K12-6-3p	
kshv-miR-K12-6-5p	kshv-miR-K12-6-5p	kshv-miR-K12-6-5p	
kshv-miR-K12-7	kshv-miR-K12-7	kshv-miR-K12-7	
kshv-miR-K12-8	kshv-miR-K12-8	kshv-miR-K12-8	
kshv-miR-K12-9	kshv-miR-K12-9	kshv-miR-K12-9	
kshv-miR-K12-9*	kshv-miR-K12-9*	kshv-miR-K12-9*	
mcmv-miR-M23-1-3p	mcmv-miR-M23-1-3p	mcmv-miR-M23-1-3p	
mcmv-miR-M23-1-5p	mcmv-miR-M23-1-5p	mcmv-miR-M23-1-5p	
mcmv-miR-M23-2	mcmv-miR-M23-2	mcmv-miR-M23-2	
mcmv-miR-M23-2*	mcmv-miR-M23-2*	mcmv-miR-M23-2*	
mcmv-miR-M44-1	mcmv-miR-M44-1	mcmv-miR-M44-1	
mcmv-miR-M55-1	mcmv-miR-M55-1	mcmv-miR-M55-1	
mcmv-miR-M87-1	mcmv-miR-M87-1	mcmv-miR-M87-1	
mcmv-miR-M95-1-3p	mcmv-miR-M95-1-3p	mcmv-miR-M95-1-3p	
mcmv-miR-M95-1-5p	mcmv-miR-M95-1-5p	mcmv-miR-M95-1-5p	
mcmv-miR-m01-1	mcmv-miR-m01-1	mcmv-miR-m01-1	
mcmv-miR-m01-2	mcmv-miR-m01-2	mcmv-miR-m01-2	
mcmv-miR-m01-2*	mcmv-miR-m01-2*	mcmv-miR-m01-2*	
mcmv-miR-m01-3	mcmv-miR-m01-3	mcmv-miR-m01-3	
mcmv-miR-m01-3*	mcmv-miR-m01-3*	mcmv-miR-m01-3*	
mcmv-miR-m01-4	mcmv-miR-m01-4	mcmv-miR-m01-4	
mcmv-miR-m01-4*	mcmv-miR-m01-4*	mcmv-miR-m01-4*	
mcmv-miR-m107-1-3p	mcmv-miR-m107-1-3p	mcmv-miR-m107-1-3p	
mcmv-miR-m107-1-5p	mcmv-miR-m107-1-5p	mcmv-miR-m107-1-5p	
mcmv-miR-m108-1	mcmv-miR-m108-1	mcmv-miR-m108-1	
mcmv-miR-m108-1*	mcmv-miR-m108-1*	mcmv-miR-m108-1*	
mcmv-miR-m108-2-3p	mcmv-miR-m108-2-3p	mcmv-miR-m108-2-3p	
mcmv-miR-m108-2-5p.1	mcmv-miR-m108-2-5p.1	mcmv-miR-m108-2-5p.1	
mcmv-miR-m108-2-5p.2	mcmv-miR-m108-2-5p.2	mcmv-miR-m108-2-5p.2	
mcmv-miR-m21-1	mcmv-miR-m21-1	mcmv-miR-m21-1	
mcmv-miR-m22-1	mcmv-miR-m22-1	mcmv-miR-m22-1	
mcmv-miR-m59-1	mcmv-miR-m59-1	mcmv-miR-m59-1	
mcmv-miR-m59-2	mcmv-miR-m59-2	mcmv-miR-m59-2	
mcmv-miR-m88-1	mcmv-miR-m88-1	mcmv-miR-m88-1	
mcmv-miR-m88-1*	mcmv-miR-m88-1*	mcmv-miR-m88-1*	
mghv-miR-M1-1	mghv-miR-M1-1	mghv-miR-M1-1	
mghv-miR-M1-2	mghv-miR-M1-2	mghv-miR-M1-2	
mghv-miR-M1-3	mghv-miR-M1-3	mghv-miR-M1-3	
mghv-miR-M1-4	mghv-miR-M1-4	mghv-miR-M1-4	
mghv-miR-M1-5	mghv-miR-M1-5	mghv-miR-M1-5	
mghv-miR-M1-6	mghv-miR-M1-6	mghv-miR-M1-6	
mghv-miR-M1-7-3p	mghv-miR-M1-7-3p	mghv-miR-M1-7-3p	
mghv-miR-M1-7-5p	mghv-miR-M1-7-5p	mghv-miR-M1-7-5p	
mghv-miR-M1-8	mghv-miR-M1-8	mghv-miR-M1-8	
mghv-miR-M1-9	mghv-miR-M1-9	mghv-miR-M1-9	
mmu-let-7a	mmu-let-7a	mmu-let-7a/ rno-let-7a	
mmu-let-7c-1*	mmu-let-7c-1*	mmu-let-7c-1*	
mmu-miR-1-2-as	mmu-miR-1-2-as	mmu-miR-1-2-as	
mmu-miR-101b	mmu-miR-101b	mmu-miR-101b/ rno-miR-101b	
mmu-miR-105	mmu-miR-105	mmu-miR-105	
mmu-miR-106a	mmu-miR-106a	mmu-miR-106a	
mmu-miR-107	mmu-miR-107	mmu-miR-107/ rno-miR-107	
mmu-miR-1186	mmu-miR-1186	mmu-miR-1186	
mmu-miR-1187	mmu-miR-1187	mmu-miR-1187	
mmu-miR-1188	mmu-miR-1188	mmu-miR-1188	
mmu-miR-1190	mmu-miR-1190	mmu-miR-1190	
mmu-miR-1191	mmu-miR-1191	mmu-miR-1191	
mmu-miR-1192	mmu-miR-1192	mmu-miR-1192	
mmu-miR-1193	mmu-miR-1193	mmu-miR-1193	
mmu-miR-1194	mmu-miR-1194	mmu-miR-1194	
mmu-miR-1195	mmu-miR-1195	mmu-miR-1195	
mmu-miR-1196	mmu-miR-1196	mmu-miR-1196	
mmu-miR-1198	mmu-miR-1198	mmu-miR-1198	
mmu-miR-1199	mmu-miR-1199	mmu-miR-1199	
mmu-miR-1224	mmu-miR-1224	mmu-miR-1224	
mmu-miR-125b*	mmu-miR-125b*	mmu-miR-125b*	
mmu-miR-129-3p	mmu-miR-129-3p	mmu-miR-129-3p/ rno-miR-129*	
mmu-miR-133b	mmu-miR-133b	mmu-miR-133b/ rno-miR-133b	
mmu-miR-136*	mmu-miR-136*	mmu-miR-136*	
mmu-miR-141*	mmu-miR-141*	mmu-miR-141*	
mmu-miR-146b*	mmu-miR-146b*	mmu-miR-146b*	
mmu-miR-151-3p	mmu-miR-151-3p	mmu-miR-151-3p/ rno-miR-151*	
mmu-miR-155	mmu-miR-155	mmu-miR-155	
mmu-miR-15a*	mmu-miR-15a*	mmu-miR-15a*	
mmu-miR-16*	mmu-miR-16*	mmu-miR-16*	
mmu-miR-17*	mmu-miR-17*	mmu-miR-17*	
mmu-miR-17	mmu-miR-17	mmu-miR-17/ rno-miR-17-5p/ rno-miR-17	
mmu-miR-181a-2*	mmu-miR-181a-2*	mmu-miR-181a-2*	
mmu-miR-181b	mmu-miR-181b	mmu-miR-181b/ rno-miR-181b	
mmu-miR-186*	mmu-miR-186*	mmu-miR-186*	
mmu-miR-18a	mmu-miR-18a	mmu-miR-18a/ rno-miR-18a	
mmu-miR-18b	mmu-miR-18b	mmu-miR-18b	
mmu-miR-191*	mmu-miR-191*	mmu-miR-191*	
mmu-miR-193*	mmu-miR-193*	mmu-miR-193*/ rno-miR-193*	
mmu-miR-193b	mmu-miR-193b	mmu-miR-193b	
mmu-miR-199a-5p	mmu-miR-199a-5p	mmu-miR-199a-5p/ rno-miR-199a-5p	
mmu-miR-199b*	mmu-miR-199b*	mmu-miR-199b*	
mmu-miR-201	mmu-miR-201	mmu-miR-201	
mmu-miR-202-3p	mmu-miR-202-3p	mmu-miR-202-3p	
mmu-miR-202-5p	mmu-miR-202-5p	mmu-miR-202-5p	
mmu-miR-203*	mmu-miR-203*	mmu-miR-203*	
mmu-miR-207	mmu-miR-207	mmu-miR-207/ rno-miR-207	
mmu-miR-20a*	mmu-miR-20a*	mmu-miR-20a*/ rno-miR-20a*	
mmu-miR-20a	mmu-miR-20a	mmu-miR-20a/ rno-miR-20a	
mmu-miR-20b*	mmu-miR-20b*	mmu-miR-20b*/ rno-miR-20b-3p	
mmu-miR-21*	mmu-miR-21*	mmu-miR-21*/ rno-miR-21*	
mmu-miR-211	mmu-miR-211	mmu-miR-211/ rno-miR-211	
mmu-miR-215	mmu-miR-215	mmu-miR-215/ rno-miR-215	
mmu-miR-218-1*	mmu-miR-218-1*	mmu-miR-218-1*	
mmu-miR-220	mmu-miR-220	mmu-miR-220	
mmu-miR-224	mmu-miR-224	mmu-miR-224	
mmu-miR-23b	mmu-miR-23b	mmu-miR-23b/ rno-miR-23b	
mmu-miR-28*	mmu-miR-28*	mmu-miR-28*	
mmu-miR-28	mmu-miR-28	mmu-miR-28/ rno-miR-28	
mmu-miR-290-3p	mmu-miR-290-3p	mmu-miR-290-3p	
mmu-miR-290-5p	mmu-miR-290-5p	mmu-miR-290-5p/ rno-miR-290	
mmu-miR-291a-3p	mmu-miR-291a-3p	mmu-miR-291a-3p/ rno-miR-291a-3p	
mmu-miR-291a-5p	mmu-miR-291a-5p	mmu-miR-291a-5p/ rno-miR-291a-5p	
mmu-miR-291b-3p	mmu-miR-291b-3p	mmu-miR-291b-3p	
mmu-miR-291b-5p	mmu-miR-291b-5p	mmu-miR-291b-5p	
mmu-miR-292-3p	mmu-miR-292-3p	mmu-miR-292-3p/ rno-miR-292-3p	
mmu-miR-292-5p	mmu-miR-292-5p	mmu-miR-292-5p/ rno-miR-292-5p	
mmu-miR-293	mmu-miR-293	mmu-miR-293	
mmu-miR-293*	mmu-miR-293*	mmu-miR-293*	
mmu-miR-294	mmu-miR-294	mmu-miR-294	
mmu-miR-294*	mmu-miR-294*	mmu-miR-294*	
mmu-miR-295	mmu-miR-295	mmu-miR-295	
mmu-miR-295*	mmu-miR-295*	mmu-miR-295*	
mmu-miR-297a*	mmu-miR-297a*	mmu-miR-297a*/ mmu-miR-297c*/ mmu-miR-297b-3p	
mmu-miR-297b-5p	mmu-miR-297b-5p	mmu-miR-297b-5p	
mmu-miR-297c	mmu-miR-297c	mmu-miR-297c	
mmu-miR-298	mmu-miR-298	mmu-miR-298/ rno-miR-298	
mmu-miR-299	mmu-miR-299	mmu-miR-299	
mmu-miR-300*	mmu-miR-300*	mmu-miR-300*/ rno-miR-300-5p	
mmu-miR-300	mmu-miR-300	mmu-miR-300/ rno-miR-300-3p	
mmu-miR-301b	mmu-miR-301b	mmu-miR-301b/ rno-miR-301b	
mmu-miR-302a	mmu-miR-302a	mmu-miR-302a	
mmu-miR-302a*	mmu-miR-302a*	mmu-miR-302a*	
mmu-miR-302b*	mmu-miR-302b*	mmu-miR-302b*	
mmu-miR-302c*	mmu-miR-302c*	mmu-miR-302c*	
mmu-miR-30b*	mmu-miR-30b*	mmu-miR-30b*/ rno-miR-30b-3p	
mmu-miR-322*	mmu-miR-322*	mmu-miR-322*/ rno-miR-322*	
mmu-miR-322	mmu-miR-322	mmu-miR-322/ rno-miR-322	
mmu-miR-325*	mmu-miR-325*	mmu-miR-325*/ rno-miR-325-5p	
mmu-miR-325	mmu-miR-325	mmu-miR-325/ rno-miR-325-3p	
mmu-miR-327	mmu-miR-327	mmu-miR-327	
mmu-miR-329	mmu-miR-329	mmu-miR-329/ rno-miR-329	
mmu-miR-33	mmu-miR-33	mmu-miR-33/ rno-miR-33	
mmu-miR-330*	mmu-miR-330*	mmu-miR-330*/ rno-miR-330*	
mmu-miR-337-3p	mmu-miR-337-3p	mmu-miR-337-3p	
mmu-miR-337-5p	mmu-miR-337-5p	mmu-miR-337-5p	
mmu-miR-339-3p	mmu-miR-339-3p	mmu-miR-339-3p	
mmu-miR-340-5p	mmu-miR-340-5p	mmu-miR-340-5p/ rno-miR-340-5p	
mmu-miR-341	mmu-miR-341	mmu-miR-341/ rno-miR-341	
mmu-miR-343	mmu-miR-343	mmu-miR-343	
mmu-miR-344	mmu-miR-344	mmu-miR-344	
mmu-miR-345-3p	mmu-miR-345-3p	mmu-miR-345-3p/ rno-miR-345-3p	
mmu-miR-345-5p	mmu-miR-345-5p	mmu-miR-345-5p/ rno-miR-345-5p	
mmu-miR-346	mmu-miR-346	mmu-miR-346	
mmu-miR-34b-5p	mmu-miR-34b-5p	mmu-miR-34b-5p/ rno-miR-34b	
mmu-miR-34c*	mmu-miR-34c*	mmu-miR-34c*/ rno-miR-34c*	
mmu-miR-34c	mmu-miR-34c	mmu-miR-34c/ rno-miR-34c	
mmu-miR-350	mmu-miR-350	mmu-miR-350/ rno-miR-350	
mmu-miR-351	mmu-miR-351	mmu-miR-351/ rno-miR-351	
mmu-miR-362-3p	mmu-miR-362-3p	mmu-miR-362-3p	
mmu-miR-362-5p	mmu-miR-362-5p	mmu-miR-362-5p	
mmu-miR-374*	mmu-miR-374*	mmu-miR-374*	
mmu-miR-376a*	mmu-miR-376a*	mmu-miR-376a*/ rno-miR-376a*	
mmu-miR-376a	mmu-miR-376a	mmu-miR-376a/ rno-miR-376a	
mmu-miR-376b*	mmu-miR-376b*	mmu-miR-376b*/ rno-miR-376b-5p	
mmu-miR-376b	mmu-miR-376b	mmu-miR-376b/ rno-miR-376b-3p	
mmu-miR-376c*	mmu-miR-376c*	mmu-miR-376c*	
mmu-miR-376c	mmu-miR-376c	mmu-miR-376c/ rno-miR-376c	
mmu-miR-380-3p	mmu-miR-380-3p	mmu-miR-380-3p	
mmu-miR-380-5p	mmu-miR-380-5p	mmu-miR-380-5p/ rno-miR-380	
mmu-miR-382*	mmu-miR-382*	mmu-miR-382*	
mmu-miR-384-3p	mmu-miR-384-3p	mmu-miR-384-3p/ rno-miR-384-3p	
mmu-miR-384-5p	mmu-miR-384-5p	mmu-miR-384-5p/ rno-miR-384-5p	
mmu-miR-429	mmu-miR-429	mmu-miR-429/ rno-miR-429	
mmu-miR-433*	mmu-miR-433*	mmu-miR-433*	
mmu-miR-434-3p	mmu-miR-434-3p	mmu-miR-434-3p/ rno-miR-434	
mmu-miR-434-5p	mmu-miR-434-5p	mmu-miR-434-5p	
mmu-miR-449b	mmu-miR-449b	mmu-miR-449b	
mmu-miR-449c	mmu-miR-449c	mmu-miR-449c	
mmu-miR-450a-3p	mmu-miR-450a-3p	mmu-miR-450a-3p	
mmu-miR-450a-5p	mmu-miR-450a-5p	mmu-miR-450a-5p/ rno-miR-450a	
mmu-miR-450b-3p	mmu-miR-450b-3p	mmu-miR-450b-3p	
mmu-miR-450b-5p	mmu-miR-450b-5p	mmu-miR-450b-5p	
mmu-miR-452	mmu-miR-452	mmu-miR-452	
mmu-miR-453	mmu-miR-453	mmu-miR-453	
mmu-miR-455	mmu-miR-455	mmu-miR-455	
mmu-miR-463	mmu-miR-463	mmu-miR-463	
mmu-miR-463*	mmu-miR-463*	mmu-miR-463*	
mmu-miR-464	mmu-miR-464	mmu-miR-464	
mmu-miR-465a-3p	mmu-miR-465a-3p	mmu-miR-465a-3p/ mmu-miR-465b-3p/ mmu-miR-465c-3p	
mmu-miR-465a-5p	mmu-miR-465a-5p	mmu-miR-465a-5p	
mmu-miR-465b-5p	mmu-miR-465b-5p	mmu-miR-465b-5p	
mmu-miR-465c-5p	mmu-miR-465c-5p	mmu-miR-465c-5p	
mmu-miR-466a-3p	mmu-miR-466a-3p	mmu-miR-466a-3p/ mmu-miR-466b-3p/ mmu-miR-466c-3p/ mmu-miR-466e-3p	
mmu-miR-466a-5p	mmu-miR-466a-5p	mmu-miR-466a-5p	
mmu-miR-466b-3-3p	mmu-miR-466b-3-3p	mmu-miR-466b-3-3p	
mmu-miR-466b-5p	mmu-miR-466b-5p	mmu-miR-466b-5p	
mmu-miR-466c-5p	mmu-miR-466c-5p	mmu-miR-466c-5p	
mmu-miR-466d-3p	mmu-miR-466d-3p	mmu-miR-466d-3p	
mmu-miR-466d-5p	mmu-miR-466d-5p	mmu-miR-466d-5p	
mmu-miR-466e-5p	mmu-miR-466e-5p	mmu-miR-466e-5p	
mmu-miR-466f	mmu-miR-466f	mmu-miR-466f	
mmu-miR-466f-3p	mmu-miR-466f-3p	mmu-miR-466f-3p	
mmu-miR-466f-5p	mmu-miR-466f-5p	mmu-miR-466f-5p	
mmu-miR-466g	mmu-miR-466g	mmu-miR-466g	
mmu-miR-466h	mmu-miR-466h	mmu-miR-466h	
mmu-miR-466i	mmu-miR-466i	mmu-miR-466i	
mmu-miR-466j	mmu-miR-466j	mmu-miR-466j	
mmu-miR-466k	mmu-miR-466k	mmu-miR-466k	
mmu-miR-466l	mmu-miR-466l	mmu-miR-466l	
mmu-miR-467a	mmu-miR-467a	mmu-miR-467a	
mmu-miR-467a*	mmu-miR-467a*	mmu-miR-467a*/ mmu-miR-467d*	
mmu-miR-467b	mmu-miR-467b	mmu-miR-467b	
mmu-miR-467b*	mmu-miR-467b*	mmu-miR-467b*	
