#ID = Human_miRNA
#miRNA_ID = miRNA symbol (Human)
#Human_miRBase = miRBase ID (Human)
#SPOT_ID = control
ID	miRNA_ID	Human_miRBase	SPOT_ID
hsa-miR-1258	hsa-miR-1258	MIMAT0005909	
hsa-miR-125a-3p	hsa-miR-125a-3p	MIMAT0004602	
hsa-miR-125a-5p	hsa-miR-125a-5p	MIMAT0000443	
hsa-miR-125b-1-3p	hsa-miR-125b-1-3p	MIMAT0004592	
hsa-miR-125b-2-3p	hsa-miR-125b-2-3p	MIMAT0004603	
hsa-miR-125b-5p	hsa-miR-125b-5p	MIMAT0000423	
hsa-miR-126-3p	hsa-miR-126-3p	MIMAT0000445	
hsa-miR-126-5p	hsa-miR-126-5p	MIMAT0000444	
hsa-miR-1260a	hsa-miR-1260a	MIMAT0005911	
hsa-miR-1260b	hsa-miR-1260b	MIMAT0015041	
hsa-miR-1261	hsa-miR-1261	MIMAT0005913	
hsa-miR-1262	hsa-miR-1262	MIMAT0005914	
hsa-miR-1263	hsa-miR-1263	MIMAT0005915	
hsa-miR-1264	hsa-miR-1264	MIMAT0005791	
hsa-miR-1265	hsa-miR-1265	MIMAT0005918	
hsa-miR-1266	hsa-miR-1266	MIMAT0005920	
hsa-miR-1267	hsa-miR-1267	MIMAT0005921	
hsa-miR-1268a/hsa-miR-1268b	hsa-miR-1268a/hsa-miR-1268b		
hsa-miR-1268b	hsa-miR-1268b	MIMAT0018925	
hsa-miR-1269a	hsa-miR-1269a	MIMAT0005923	
hsa-miR-1269b	hsa-miR-1269b	MIMAT0019059	
hsa-miR-127-3p	hsa-miR-127-3p	MIMAT0000446	
hsa-miR-127-5p	hsa-miR-127-5p	MIMAT0004604	
hsa-miR-1270	hsa-miR-1270	MIMAT0005924	
hsa-miR-1271-3p	hsa-miR-1271-3p	MIMAT0022712	
hsa-miR-1271-5p	hsa-miR-1271-5p	MIMAT0005796	
hsa-miR-1272	hsa-miR-1272	MIMAT0005925	
hsa-miR-1273a	hsa-miR-1273a	MIMAT0005926	
hsa-miR-1273c	hsa-miR-1273c	MIMAT0015017	
hsa-miR-1273d	hsa-miR-1273d	MIMAT0015090	
hsa-miR-1273e	hsa-miR-1273e	MIMAT0018079	
hsa-miR-1273f	hsa-miR-1273f	MIMAT0020601	
hsa-miR-1273g-3p	hsa-miR-1273g-3p	MIMAT0022742	
hsa-miR-1273g-5p	hsa-miR-1273g-5p	MIMAT0020602	
hsa-miR-1275	hsa-miR-1275	MIMAT0005929	
hsa-miR-1276	hsa-miR-1276	MIMAT0005930	
hsa-miR-1277-3p	hsa-miR-1277-3p	MIMAT0005933	
hsa-miR-1277-5p	hsa-miR-1277-5p	MIMAT0022724	
hsa-miR-1278	hsa-miR-1278	MIMAT0005936	
hsa-miR-1279	hsa-miR-1279	MIMAT0005937	
hsa-miR-128	hsa-miR-128	MIMAT0000424	
hsa-miR-1280	hsa-miR-1280	MIMAT0005946	
hsa-miR-1281	hsa-miR-1281	MIMAT0005939	
hsa-miR-1282	hsa-miR-1282	MIMAT0005940	
hsa-miR-1283	hsa-miR-1283	MIMAT0005799	
hsa-miR-1284	hsa-miR-1284	MIMAT0005941	
hsa-miR-1285-3p	hsa-miR-1285-3p	MIMAT0005876	
hsa-miR-1285-5p	hsa-miR-1285-5p	MIMAT0022719	
